Zeit;TE1;TE2;Ush;TMref;TM11;TM12;UBE1;TM21;TM22;UBE2;UCE
192.215123;261;35;4696;1027;449;519;1444;884;877;812;1064
192.712396;261;34;4700;1025;449;520;1444;884;876;811;1064
193.212269;261;35;4697;1026;448;518;1443;885;876;812;1064
193.713681;261;35;4698;1026;447;517;1444;885;877;812;1065
194.213196;261;35;4699;1026;446;516;1444;886;879;812;1064
194.712977;262;36;4700;1027;447;516;1443;885;878;811;1062
195.212887;260;35;4701;1026;447;514;1444;886;880;811;1067
195.713871;261;35;4698;1025;449;513;1443;885;878;810;1062
196.212076;262;35;4698;1026;445;512;1443;886;879;814;1062
196.712817;261;34;4703;1026;445;512;1444;885;878;813;1062
197.212036;262;35;4699;1025;444;510;1443;885;879;813;1064
197.711302;263;34;4699;1026;445;511;1443;886;879;812;1065
198.212243;262;34;4698;1026;445;511;1444;887;880;812;1064
198.710318;264;34;4695;1025;443;509;1442;889;880;813;1063
199.21277;263;35;4698;1026;443;511;1443;891;881;812;1065
199.713344;263;34;4699;1026;442;512;1442;891;881;814;1065
200.213336;263;34;4696;1026;444;513;1443;892;882;814;1065
200.713636;263;34;4697;1025;444;512;1442;893;882;814;1064
201.213154;264;33;4703;1025;446;514;1443;894;884;813;1065
201.711963;264;34;4699;1025;449;521;1443;898;886;814;1062
202.213809;264;33;4696;1025;451;523;1442;899;887;811;1063
202.71302;264;33;4697;1026;451;525;1442;901;888;814;1062
203.212767;263;33;4700;1026;451;526;1441;901;887;815;1064
203.710225;263;33;4698;1026;452;525;1442;901;889;814;1062
204.21183;264;32;4701;1024;450;523;1442;901;889;814;1062
204.712605;264;33;4701;1026;449;523;1441;903;889;815;1065
205.213094;264;33;4702;1026;449;522;1442;901;889;815;1061
205.715834;264;32;4700;1027;449;519;1443;902;889;815;1063
206.213391;264;33;4698;1026;446;518;1442;902;888;815;1061
206.713178;264;33;4701;1026;446;518;1443;902;889;815;1062
207.213324;264;32;4699;1026;447;517;1441;904;889;815;1061
207.712389;265;32;4698;1026;446;517;1442;904;889;816;1062
208.211945;264;32;4698;1026;445;515;1442;903;890;815;1064
208.713312;265;32;4697;1027;444;514;1442;903;890;815;1064
209.212329;264;32;4698;1026;443;512;1441;903;890;816;1063
209.712188;264;31;4699;1027;443;512;1441;902;891;816;1062
210.213282;265;32;4695;1027;442;511;1441;903;891;816;1062
210.713374;266;31;4704;1026;441;510;1441;903;892;815;1062
211.213226;265;32;4701;1025;441;508;1442;902;890;816;1062
211.715694;265;31;4696;1026;440;507;1441;901;892;815;1062
212.213737;267;31;4700;1025;440;507;1441;901;892;816;1061
212.713354;266;31;4700;1025;439;506;1441;902;891;816;1061
213.212656;266;31;4699;1027;438;506;1440;902;891;816;1061
213.712967;267;31;4697;1026;438;504;1441;902;892;816;1062
214.212734;267;31;4701;1026;437;504;1440;902;889;816;1063
214.713196;266;31;4695;1025;436;503;1440;901;892;817;1064
215.213324;267;31;4693;1026;435;502;1440;902;892;817;1064
215.713128;267;31;4701;1025;435;501;1440;902;892;816;1060
216.21343;267;30;4696;1026;434;502;1440;903;892;818;1060
216.712601;268;31;4695;1026;434;502;1440;902;893;816;1063
217.212604;267;31;4698;1025;431;502;1440;902;894;821;1061
217.713336;267;31;4698;1026;431;503;1440;902;894;817;1062
218.214726;267;31;4698;1027;430;502;1439;904;894;817;1063
218.713101;267;31;4694;1025;430;502;1440;904;894;817;1062
219.21319;268;31;4698;1025;427;501;1439;903;895;820;1060
219.713412;268;30;4698;1026;428;500;1439;903;895;817;1061
220.210955;268;30;4701;1025;428;499;1439;904;894;818;1062
220.713604;268;30;4694;1025;428;497;1440;904;896;819;1060
221.212633;269;30;4700;1026;428;497;1439;904;895;818;1063
